rank,competitor,dob,nat,sec,pos_sec,pos_full,venue,date,world_athletics_event_ranking_score,men_100,men_100_wind,men_100_score,men_lj,men_lj_wind,men_lj_score,men_sp,men_sp_score,men_hj,men_hj_score,men_400,men_400_score,men_110h,men_110h_wind,men_110h_score,men_dt,men_dt_score,men_pv,men_pv_score,men_jt,men_jt_score,men_1500,men_1500_score,overall_score,average_wind
579,Teruhisa Motohashi,4/4/1997,JPN,1,9,9,Fukui (JPN),9/9/2017,964,11.01,2.2,858,6.89,1.4,788,10.4,510,1.9,714,49.74,827,15.18,0.6,828,30.33,471,4,617,49.51,581,04:29:00,749.44,6943,1.4000000000000001
486,Paris Williams,8/19/1998,USA,1,1,1,"Rock Hill, SC (USA)",3/23/2018,964,10.9,1.8,883,6.65,1.5,732,10.57,520,2.04,840,50.82,777,14.33,2.5,932,38.61,636,3.44,467,48.39,565,04:54:00,591.66,6943,1.9333333333333333
571,Min-Young Choi,6/12/1994,KOR,1,1,1,Chungju (KOR),5/3/2019,964,11.44,1.1,765,6.83,2.1,774,12.62,644,1.9,714,51.19,761,16.21,-1.2,709,33.29,530,4.5,760,47.41,550,04:31:00,736.59,6943,0.6666666666666666
550,Kyle Sullivan,NA,USA,1,4,4,"Fresno, CA (USA)",5/12/2016,964,11.3,0.3,795,6.71,2,746,12.41,631,1.9,714,51.39,752,14.84,0.8,869,34.86,561,4.2,673,47.21,547,04:44:00,655.08,6943,1.0333333333333332
581,Hugo Hassid,4/20/1991,FRA,1,4,4,Marseille (FRA),7/15/2017,964,11.52,-2,748,6.92,1.9,795,12.72,650,1.82,644,53.06,679,15.66,-1.2,772,41.88,703,4.5,760,55.45,670,05:06:00,521.26,6942,-0.43333333333333335
508,Abrahm Schroedl,NA,USA,1,1,1,"David A. Smith Stadium, River Falls, WI (USA)",5/8/2021,964,11.41,1.9,771,6.95,-5.2,802,11.36,568,1.94,749,53.9,644,16.13,0.7,718,44.83,763,4.8,849,53.3,638,05:22:00,440.38,6942,-0.8666666666666668
508,Zihao Yang,9/2/1998,CHN,1,15,15,Chongqing (CHN),6/27/2021,964,11.14,0,830,6.89,0,788,10.29,503,1.95,758,52.38,708,14.63,0.5,895,36.18,587,4.1,645,48.19,562,04:42:00,666.82,6942,0.16666666666666666
517,Luc Brewin,11/22/2002,FRA,1,5,5,"Bedford Athletic Stadium, Bedford (GBR)",5/29/2022,964,11.3,-0.7,795,7.25,2.2,874,11.64,585,1.83,653,54.03,638,15.14,0.5,833,36.47,593,4.6,790,42.02,471,04:53:00,598.52,6942,0.6666666666666666
559,Zach Anderson,NA,USA,1,3,3,"Delaware, OH (USA)",5/23/2014,963,11.43,2.4,767,6.29,-2.6,650,11.57,580,1.9,714,50.03,813,15.28,2.2,816,39.56,656,4.1,645,47.12,546,04:28:00,754.78,6941,0.6666666666666666
559,Anton Varavva,4/2/1993,UKR,1,4,4,Kirovograd (UKR),7/25/2014,963,11.72,-0.5,707,7.08,1.7,833,13.77,714,1.91,723,51.92,728,15.89,0,745,38.8,640,4.5,760,45.23,518,04:57:00,573.66,6941,0.39999999999999997
582,Cyril Retornaz,6/2/1989,FRA,1,6,6,St-Renan (FRA),6/18/2017,963,11.12,1.4,834,6.85,1.2,778,11.29,563,1.9,714,51.51,746,14.81,0.8,873,38.14,627,4.17,665,44.63,510,04:48:00,631.27,6941,1.133333333333333
559,Mattijs Vandecapelle,3/3/1989,BEL,1,3,3,Dilbeek (BEL),8/3/2014,963,11.29,-0.7,797,6.7,-0.4,743,12.75,652,1.84,661,49.91,819,15.19,-0.1,827,38.4,632,4.2,673,44.6,509,04:48:00,628.6,6941,-0.4000000000000001
518,Tj Davis,NA,USA,1,2,2,"Mickey Miller Blackwell Stadium, Gulf Shores, AL (USA)",5/26/2022,963,11.34,2.5,786,6.48,1.9,693,12.3,625,1.89,705,50.03,813,14.64,-1.1,894,31.82,500,4.4,731,44.33,505,04:38:00,689.7,6941,1.1
550,Payson Maydew,NA,USA,1,4,4,St. Charles (USA),5/2/2015,963,11.44,1.9,765,6.04,0.1,595,12.83,657,1.89,705,49.89,820,15.18,1.4,828,43.24,731,4.4,731,40.2,445,04:42:00,664.89,6941,1.1333333333333333
453,Derek Steinbach,11/18/1988,USA,1,4,4f1,"Azusa, CA (USA)",4/15/2010,963,11.58,1.2,736,6.63,1.6,727,13.24,682,1.75,585,51.54,745,15.43,0,798,38.77,640,4.4,731,54.17,651,04:45:00,645.95,6940,0.9333333333333332
490,James Brandenburg,11/11/1996,USA,1,3,3,"Charlottesville, VA (USA)",4/21/2018,963,11.08,2.3,843,6.73,2.3,750,11.62,583,1.87,687,49.62,832,14.58,0.5,901,33.29,530,3.8,562,52.59,627,04:48:00,625.99,6940,1.7
518,Ricardo D. Herrada Galindo,6/8/1991,VEN,1,2,2,Caracas (VEN),5/7/2011,963,11.65,0,721,6.82,2.1,771,11.3,564,1.9,714,51.47,748,15.06,-0.1,842,37.37,611,4.2,673,50.15,591,04:36:00,705.88,6940,0.6666666666666666
518,Maksim Makarevich,11/14/1991,BLR,1,NA,NA,Brest (BLR),5/14/2011,963,11.5,-1.4,753,7.02,2.6,818,12.03,608,1.9,714,50.89,774,15.63,1.1,775,38.85,641,4.1,645,49.82,586,04:48:00,626.96,6940,0.7666666666666667
519,Drew Thompson,NA,USA,1,3,3,"Veterans Memorial Stadium, Clovis, CA (USA)",5/12/2022,963,11.08,2.1,843,7,2.8,814,12.27,623,1.71,552,50.16,807,15.22,2,823,40.99,685,3.8,562,48.03,559,04:41:00,672.19,6940,2.3000000000000003
510,Caleb Whitney,NA,USA,1,3,3,"Clarence F. Robison Track, Provo, UT (USA)",4/22/2021,963,11.62,-2.3,728,6.76,-1.2,757,11.8,594,1.99,794,50.58,788,14.92,1.6,859,35.63,576,4.36,719,43.83,498,04:48:00,627.63,6940,-0.6333333333333333
562,Cody Thomas,10/5/1991,NZL,1,3,3,"Sacramento, CA (USA)",4/11/2014,963,10.96,1.2,870,6.99,3.4,811,11.35,567,1.92,731,49.48,839,15.47,0.6,794,35.6,576,4.1,645,43.39,491,04:50:00,616.93,6940,1.7333333333333332
551,Tanner Mcnutt,10/11/1994,USA,1,3,3,"Wichita, KS (USA)",4/14/2016,963,11,0.3,861,6.84,3,776,11.68,587,1.89,705,49.93,818,15.66,1.7,772,33.47,533,4.5,760,43.08,487,04:46:00,641.35,6940,1.6666666666666667
562,Tyler Grob,6/17/1991,USA,1,1,1,"Geneva, OH (USA)",5/1/2014,963,10.82,2.6,901,6.09,NA,606,11.53,578,1.9,714,51.05,767,15.73,1.1,763,35.69,578,4.9,880,40.86,455,04:37:00,698.47,6940,NA
490,Aiden Davies,12/26/1995,GBR,1,4,4,Bedford (GBR),5/27/2018,963,11.23,-0.2,810,6.72,0,748,13.43,693,1.83,653,49.15,854,16.68,-2.9,658,39.7,658,4.22,679,37.42,405,04:24:00,782.82,6940,-1.0333333333333334
562,Josue Louis,10/31/1987,HAI,1,8,8,Ottawa (CAN),6/2/2013,963,11.14,1.3,830,6.84,3,776,12.45,634,2.06,859,50.84,776,14.59,0.6,900,35.51,574,4.1,645,53.12,635,05:49:00,310.34,6939,1.633333333333333
562,William Oliver,NA,USA,1,2,2,"Miramar, FL (USA)",5/11/2013,963,11.31,0.9,793,7.24,3.1,871,10.58,521,2.03,831,52.41,707,14.86,2.2,867,29.88,462,4.25,688,45.77,526,04:41:00,673.07,6939,2.066666666666667
583,Austin Smith,NA,USA,1,9,9f1,"Azusa, CA (USA)",4/13/2017,963,10.78,1.6,910,6.75,0.9,755,12.83,657,1.75,585,48.45,887,15.22,1.7,823,34.84,560,4.2,673,45.71,525,04:59:00,564.21,6939,1.4000000000000001
551,Hendrik Nungeß,2/3/1994,GER,1,8,8,"Allendale, MI (USA)",5/22/2015,963,12,2.7,651,6.49,0.8,695,13.78,715,1.84,661,54.44,622,16.57,1.7,670,46.97,807,4.25,688,66,829,04:53:00,600.31,6938,1.7333333333333334
574,Ariel Atias,5/9/1999,ISR,1,1,1,Tel Aviv (ISR),4/22/2019,963,11.32,1.4,791,6.69,0.3,741,13.27,684,1.95,758,52.51,703,16.52,-1.2,675,35.45,573,4.4,731,55.31,668,04:50:00,615.43,6938,0.16666666666666666
564,Ferry Van Dipten,2/28/1993,NED,1,3,3,Apeldoorn (NED),5/20/2013,963,11.26,1,804,6.79,1.5,764,11.74,591,1.92,731,51.47,748,15.14,0,833,31.46,493,4.4,731,45.72,526,04:34:00,717.96,6938,0.8333333333333334
452,Joan Estruch,3/23/1984,ESP,1,1,1,Castellón (ESP),6/10/2009,963,11.49,-2.3,755,6.84,4.7,776,12.76,653,1.81,636,51.63,741,14.38,1.2,926,38.51,634,4.4,731,43.24,489,04:53:00,597.58,6938,1.2000000000000002
574,Gael Parpan,10/9/1997,FRA,1,7,7,Laval (FRA),6/16/2019,963,11.21,2.2,814,6.48,2.9,693,11.75,591,1.79,619,50.02,814,15.32,1.6,811,39.97,664,4.6,790,37.02,399,04:30:00,743.27,6938,2.233333333333333
511,Shota Ichikawa,6/14/1999,JPN,1,10,10,"Municipal Stadium, Nagano (JPN)",6/13/2021,963,11.29,2.1,797,6.87,1.3,783,12.23,620,1.8,627,50.86,775,15.54,-0.5,785,33.98,543,4.5,760,58.94,722,05:06:00,525.72,6937,0.9666666666666668
552,Panagiotis Mantis,3/31/1995,GRE,1,1,1,Serres (GRE),6/5/2016,963,11.13,-0.2,832,6.54,0.2,707,12.04,609,1.77,602,51.02,768,15.56,-1.7,783,37.92,622,4.4,731,55.65,673,04:51:00,610.09,6937,-0.5666666666666667
170,Marcelle De Jager,1/24/1996,RSA,1,1,1,"Green Point Stadium, Cape Town (RSA)",1/25/2020,963,11.22,0.6,812,6.93,1.6,797,14.15,738,1.75,585,54.17,633,15.72,-0.9,765,47.51,819,4,617,53.35,638,05:04:00,533.64,6937,0.4333333333333334
511,Hayden Ashley,6/20/1905,USA,1,1,1,"Ted Lloyd Track, Searcy, AR (USA)",5/13/2021,963,11.65,0.2,721,6.88,0.9,785,11.36,568,1.92,731,52.87,687,16.41,1.4,687,37.71,618,4.7,819,52.39,624,04:37:00,697.77,6937,0.8333333333333334
492,Melchior Llanas,10/15/1993,FRA,1,2,2,Oyonnax (FRA),6/24/2018,963,11.64,-0.4,723,6.36,-0.3,666,13.99,728,1.89,705,54.15,633,15.57,-0.4,782,42.16,709,4.3,702,49.73,585,04:36:00,704.98,6937,-0.3666666666666667
520,Charlie Roe,4/28/1992,GBR,1,4,4,"Manchester Regional Arena, Manchester (GBR)",6/25/2022,963,11.02,3,856,7.07,0.5,830,11.31,565,1.99,794,50.59,788,15.66,2.7,772,32.47,513,3.7,535,48.99,574,04:35:00,710.17,6937,2.066666666666667
584,Nick Guerrant,NA,USA,1,6,6,"Charlottesville, VA (USA)",4/22/2017,963,11.24,2.4,808,6.64,2.2,729,13.34,688,1.9,714,50.41,796,15.61,0.7,777,38.08,626,4.1,645,48.32,564,04:54:00,590.6,6937,1.7666666666666666
552,Kewei Gong,6/29/1994,CHN,1,8,8,Huai'an (CHN),4/22/2016,963,11.27,-0.4,801,7.26,2,876,10.77,532,1.98,785,50.92,773,15.5,0.5,790,34.19,547,4,617,47.79,556,04:43:00,660.28,6937,0.7000000000000001
552,Connor Williamson,11/3/1988,USA,1,3,3,"Chula Vista, CA (USA)",5/23/2015,963,11.4,1.9,774,6.77,1.6,760,14.45,756,1.86,679,52.98,682,14.96,2.1,854,40.55,676,4.15,659,47.48,551,05:02:00,546.2,6937,1.8666666666666665
584,Korbinian Suckfüll,8/6/1997,GER,1,1,1,Kienbaum (GER),8/13/2017,963,11.25,-1.7,806,6.45,0.5,686,11.57,580,1.7,544,48.73,874,15.46,-1.2,795,34.71,558,4.9,880,45.05,516,04:37:00,698.72,6937,-0.7999999999999999
552,Logan Henderson,NA,USA,1,4,4f1,"Azusa, CA (USA)",4/16/2015,963,11.61,-1.3,730,6.62,2.3,725,12.23,620,1.83,653,48.9,866,15.57,2.4,782,33.88,541,4.3,702,44.99,515,04:21:00,803.28,6937,1.133333333333333
170,Joni Heikkinen,10/19/1999,FIN,1,1,1,"Kaurialan kenttä, Hämeenlinna (FIN)",8/30/2020,963,11.5,-1.1,753,7.07,3.7,830,12.84,657,1.88,696,50.84,776,15.51,0.1,789,38.6,636,4.04,628,41.87,469,04:36:00,703.96,6937,0.9
453,Richard Reeks,12/6/1985,GBR,1,8,8,Arles (FRA),6/7/2009,963,11.31,-1.8,793,6.76,1.7,757,11.57,580,1.97,776,50.3,801,14.84,1.3,869,37.89,622,4.15,659,41.7,467,04:51:00,613.03,6937,0.39999999999999997
565,Felix Siljeback-Larsen,5/31/1989,SWE,1,6,6,"Princeton, NJ (USA)",5/11/2013,963,11.39,0,776,7.13,1.8,845,11.94,603,1.87,687,50.32,800,15.98,-1.2,735,36.6,596,4.65,804,40.29,446,04:45:00,645.95,6937,0.20000000000000004
521,Jafett Juarez,5/18/1997,MEX,1,1,1,"Pista del CARE, Monterrey (MEX)",2/27/2022,963,11.42,-0.2,769,6.83,0.2,774,11.62,583,1.83,653,51.26,757,15.4,1.7,802,35.69,578,4.5,760,56.3,682,04:56:00,578.03,6936,0.5666666666666667
586,Andreas Christodoulou,10/26/1995,CYP,1,3,3,"Coral Gables, FL (USA)",4/8/2017,963,11.31,1.5,793,6.87,0,783,12.78,654,1.82,644,51.18,761,15.31,0.5,812,37.15,607,4.2,673,55.61,672,05:04:00,537.47,6936,0.6666666666666666
537,Rasmus Carlsson,9/6/1988,SWE,1,5,5,Asikkala (FIN),8/5/2012,963,11.57,0.4,738,6.63,0.2,727,13.12,675,1.89,705,51.57,744,16.44,-0.8,684,36.94,603,4.5,760,54.76,659,04:46:00,641.59,6936,-0.06666666666666665
493,Edgaras Benkunskas,5/28/1999,LTU,1,1,1,Palanga (LTU),7/28/2018,963,11.49,2.7,755,6.59,0.6,718,13.48,697,1.86,679,50.74,781,15.55,1.3,784,36.55,595,4.2,673,54.58,657,04:53:00,597.34,6936,1.5333333333333334
493,Hunter Key,NA,USA,1,3,3,"Nacogdoches, TX (USA)",4/6/2018,963,10.82,5,901,6.68,0,739,12.36,628,1.73,569,50.41,796,15.23,0.1,822,38.66,637,4.25,688,53.73,644,05:08:00,512.27,6936,1.7
586,Alvydas Misius,2/14/1993,LTU,1,9,9,Monzón (ESP),7/2/2017,963,11.78,-1.7,695,6.36,0.4,666,13.28,684,1.89,705,50.59,788,15.77,0.3,759,44.21,751,3.9,590,50.18,591,04:35:00,707.29,6936,-0.33333333333333326
586,Andreas Gustafsson,4/8/1997,SWE,1,18,18,Monzón (ESP),7/2/2017,963,11.48,-0.4,757,6.64,2.6,729,12.15,616,1.95,758,50.74,781,15.55,-0.8,784,36.02,584,4.2,673,49.85,586,04:41:00,668.88,6936,0.46666666666666673
493,Panayiotis Pitas,3/8/1995,GRE,1,3,3,Thessaloniki (GRE),7/8/2018,963,11.29,-1.8,797,6.62,-0.4,725,13,667,1.89,705,50.3,801,15.22,5.9,823,41.5,695,4,617,47.66,554,05:01:00,552.65,6936,1.2333333333333334
520,Kurt Reichenbach,9/3/1989,USA,1,5,5,"Iowa City, IA (USA)",5/14/2011,963,11.44,-0.2,765,6.57,0.4,713,10.89,539,1.94,749,50.48,793,15.45,2.7,796,34.68,557,4.65,804,47.19,547,04:41:00,673.19,6936,0.9666666666666668
576,Artur Pelishenak,8/18/1998,BLR,1,1,1,Brest (BLR),5/17/2019,963,11.47,-1,759,6.92,-0.5,795,13.02,668,2,803,52.29,712,15.9,0.1,744,39.87,662,4.3,702,46.88,543,05:02:00,548.88,6936,-0.4666666666666666
539,Tuure Hollo,7/29/1990,FIN,1,3,3,Hyvinkää (FIN),7/22/2012,962,11.7,-1.2,711,6.27,0.1,646,11.7,588,1.92,731,52.91,685,15.27,0.7,817,44.34,753,4.5,760,55.62,672,04:57:00,572.44,6935,-0.1333333333333333
496,Marvin Gregor,10/3/1993,GER,1,3,3,Wesel (GER),8/26/2018,962,11.67,-0.8,717,6.57,2.9,713,12.58,642,1.85,670,53.96,641,15.29,-0.7,815,37.41,612,4.7,819,55.35,668,04:46:00,638.96,6935,0.46666666666666656
496,Christian Nielsen,8/5/1991,DEN,1,4,4,Dilbeek (BEL),7/29/2018,962,11.42,-0.4,769,6.8,-1.2,767,12.48,636,1.82,644,51.56,744,14.94,0.4,857,34.4,552,4.1,645,54.08,649,04:41:00,672.88,6935,-0.4000000000000001
521,Reid Gustavson,1/14/1988,CAN,1,4,4,Calgary (CAN),6/23/2011,962,11.31,0.4,793,6.68,2.6,739,12.42,632,1.94,749,49.2,852,16.46,-1,682,35.82,580,4.2,673,49.34,579,04:44:00,656.13,6935,0.6666666666666666
521,Richard Roethel,5/20/1991,USA,1,4,4,"Delaware, OH (USA)",5/27/2011,962,11.03,1.6,854,7.06,1.2,828,11.58,581,2.05,850,50.84,776,15.33,-0.1,810,30.57,476,4.1,645,46.65,539,04:57:00,576.34,6935,0.8999999999999999
564,Renato Linhares Dos Santos,5/8/1993,BRA,1,5,5,Sao Bernardo do Campo (BRA),4/27/2014,962,10.85,0.3,894,6.47,1,691,13.22,681,1.79,619,49.06,858,15.12,1.7,835,37.36,611,3.8,562,45.38,521,04:42:00,663.02,6935,1
513,Han Huang,7/29/2002,TPE,1,2,2,New Taipei City (TPE),10/18/2021,962,11.06,1.8,847,6.58,0.7,716,11.96,604,2,803,52,725,15.2,0.9,825,33.93,542,4.1,645,53.56,641,04:56:00,583.65,6934,1.1333333333333333
455,Fernando Korniejcuck,3/24/1985,ARG,1,2,2,Buenos Aires (ARG),4/25/2010,962,11.39,2.9,776,7,2.8,814,12.25,622,1.89,705,52.71,694,15.39,-0.1,803,36.49,594,4.4,731,48.78,571,04:49:00,624.66,6934,1.8666666666666665
555,Reiji Inaba,6/22/1994,JPN,1,14,14,Nagano (JPN),6/12/2016,962,10.93,2.3,876,6.94,3.2,799,10.1,492,1.8,627,49.46,840,14.65,2.1,892,31.3,490,4.2,673,47.23,548,04:37:00,697.45,6934,2.533333333333333
498,Lane Andrews,NA,USA,1,9,9,"Charlotte, NC (USA)",5/25/2018,962,11.53,-1.1,746,6.62,-0.4,725,10.8,534,1.83,653,49.72,828,15.81,0.9,754,36.33,590,4.65,804,45.87,528,04:25:00,772.77,6934,-0.19999999999999998
522,Elliot Thompson,8/10/1992,GBR,1,2,2,"Mary Peters Track, Belfast (GBR)",9/4/2022,962,11.71,-2.5,709,6.85,1.3,778,12.28,623,1.93,740,50.31,800,16.18,-1,713,37.34,611,4.4,731,42.82,483,04:29:00,746.68,6934,-0.7333333333333334
589,Kerinde Hilario De Souza Brites Da Silva,2/9/1994,BRA,1,8,8,"Mestský Stadion Sletište, Kladno (CZE)",6/18/2017,962,10.92,2.3,878,6.75,2.1,755,12.25,622,1.99,794,50.7,783,15.15,1.3,831,34.01,544,4,617,42.03,472,04:46:00,638.59,6934,1.9000000000000001
513,Yang Tian,5/28/1997,CHN,1,4,4,Xi'an (CHN),4/28/2021,962,11.25,-0.1,806,6.92,0.4,795,11.16,556,1.98,785,51.81,733,14.85,-0.9,868,35.21,568,4.4,731,41.66,466,04:48:00,626.78,6934,-0.19999999999999998
540,Gianluca Simionato,8/8/1990,ITA,1,1,1,Novara (ITA),6/3/2012,962,11.55,-0.7,742,6.84,1,776,13.25,682,1.9,714,52.41,707,16.29,-0.3,700,40.85,682,3.9,590,57.58,701,04:46:00,639.51,6933,1.850371707708594e-17
454,Marshall Ackley,NA,USA,1,2,2,"Eugene, OR (USA)",4/24/2009,962,11.27,1.2,801,6.3,1.4,652,11.16,556,1.78,610,49.31,847,15.24,1.4,821,35.97,583,4.35,716,49.5,581,04:26:00,766.38,6933,1.3333333333333333
590,Felix Wolter,10/4/1997,GER,1,2,2,Kienbaum (GER),8/13/2017,962,11.39,-1.7,776,6.8,0,767,12.07,611,1.85,670,50.89,774,15.28,-0.8,816,36.83,600,4.4,731,45.38,521,04:42:00,667.69,6933,-0.8333333333333334
577,Caius Joseph,7/24/1999,GBR,1,2,2,Manchester (GBR),8/4/2019,962,10.98,1,865,6.81,1.6,769,12.62,644,1.79,619,49.52,837,15.37,1.9,805,36.65,597,4.17,665,43.85,498,04:47:00,634.56,6933,1.5
523,Renato Atila Souza Da Camara,9/16/1985,BRA,1,2,2,São Paulo (BRA),6/26/2011,962,11.33,-0.3,789,7,1,814,13.32,687,1.95,758,50.1,810,14.88,0.4,864,36.41,592,4.2,673,38.09,415,05:05:00,531.16,6933,0.3666666666666667
455,Bharat Inder Singh,10/23/1988,IND,1,4,4,Guangzhou (CHN),11/13/2009,962,10.88,0.9,888,7.06,0.8,828,13.05,670,1.75,585,52.71,694,15.09,0,839,43.67,740,3.7,535,59.29,727,05:24:00,426.41,6932,0.5666666666666668
556,Chuan He,10/11/1990,CHN,1,6,6,Taiyuan (CHN),5/21/2016,962,11.43,0,767,6.74,1,753,13.07,672,1.86,679,52.42,706,15.28,-0.8,816,39.65,657,4.1,645,58.65,718,05:07:00,519.76,6932,0.06666666666666665
524,Matthias Laube,5/24/1983,GER,1,2,2,"Bernhausen, Filderstadt (GER)",5/22/2011,962,11.79,-0.1,693,6.98,0.9,809,11.92,602,1.92,731,52.19,716,15.51,-0.5,789,37.6,616,4,617,58.34,713,04:45:00,646.32,6932,0.10000000000000002
456,Leandro López,3/13/1983,DOM,1,4,4,San Germán (PUR),5/15/2010,962,11.24,0,808,6.71,1.4,746,12.35,628,1.79,619,50.25,803,15.85,NA,750,38.8,640,3.9,590,56.47,685,04:42:00,663.7,6932,NA
523,Maguire Petersen,NA,USA,1,5,5,"Spire Institute Outdoor Complex, Geneva, OH (USA)",5/27/2022,962,11.17,1.9,823,6.71,1,746,13.52,699,2.03,831,51.35,753,15.67,2.4,770,37.29,610,3.6,509,55.73,674,05:07:00,517.59,6932,1.7666666666666666
565,Christoph Lange,6/13/1905,GER,1,7,7,Vaterstetten (GER),8/24/2014,962,11.52,0,748,6.45,-0.1,686,11.8,594,1.94,749,50.76,780,15.63,0,775,34.91,562,4.5,760,50.78,600,04:40:00,678.03,6932,-0.03333333333333333
578,Stephen Kobena Asamoah,3/16/1993,ITA,1,1,1,Lana (ITA),9/22/2019,962,11.16,-0.6,825,6.95,2.2,802,12.35,628,1.84,661,49.81,823,16,-0.7,733,40.32,671,3.8,562,47.68,554,04:41:00,673.95,6932,0.30000000000000004
554,Nobuhiko Aratani,7/13/1994,JPN,1,5,5,Osaka (JPN),9/13/2015,962,11.03,-1.2,854,7.13,1.1,845,10.23,499,1.85,670,49.01,861,15.71,0.3,766,29.29,450,4.3,702,47.11,546,04:30:00,739.99,6932,0.06666666666666671
515,Travis Moore,NA,USA,1,1,1,"Tiffin University Paradiso Athletic Fields, Cleveland, OH (USA)",4/17/2021,962,11.66,0,719,6.7,0,743,13.72,711,1.86,679,50.16,807,14.74,-0.1,881,32.38,511,4.1,645,46.92,543,04:38:00,693.32,6932,-0.03333333333333333
556,Ethen Schoen,NA,USA,1,1,1,"La Crosse, WI (USA)",4/22/2016,962,11.5,-2.3,753,7.26,1.2,876,10.94,542,2,803,52.03,723,15.38,0.5,804,39.33,651,4.3,702,44.6,509,04:58:00,569.24,6932,-0.19999999999999996
554,Jack Andrew,10/12/1991,GBR,1,1,1,Bedford (GBR),5/24/2015,962,11.55,0.1,742,6.19,0,628,12.4,631,1.85,670,50.91,773,14.92,1.7,859,36.6,596,4.4,731,44.54,508,04:22:00,794.07,6932,0.6
591,Tomáš Pulicek,4/29/1997,CZE,1,9,9,"Mestský Stadion Sletište, Kladno (CZE)",6/18/2017,962,10.98,1.9,865,6.76,-1.6,757,12.81,656,1.84,661,50.23,804,14.9,1.3,862,34.24,548,4.1,645,44.05,501,04:47:00,633.53,6932,0.5333333333333333
566,Justin Critser,NA,USA,1,1,1,"Pocatello, ID (USA)",4/11/2013,962,11.16,NA,825,6.93,-0.6,797,11.32,565,2.01,813,51.06,766,15.11,2.7,836,33.63,536,4.3,702,43.63,495,04:50:00,613.69,6932,NA
565,Dillon Schrodt,NA,USA,1,3,3,"Jefferson City, MO (USA)",5/3/2014,962,10.9,2.3,883,6.71,1.1,746,10.78,533,1.96,767,49.56,835,14.51,-0.2,910,31.44,493,4.2,673,42.2,474,04:50:00,618.44,6932,1.0666666666666667
556,Tyler Brendel,10/24/1994,USA,1,9,9,"Seattle, WA (USA)",5/8/2016,962,10.99,-0.1,863,6.48,-0.1,693,12.42,632,1.76,593,49.87,821,14.98,1.2,852,35.94,583,4.4,731,39.77,439,04:33:00,725.21,6932,0.3333333333333333
457,Andonis Hage-Ali,6/11/1905,GER,1,5,5,Opole (POL),6/6/2010,962,11.79,-2,693,7.16,1.7,852,12.14,615,1.96,767,52.75,692,16.14,-1.6,717,38.38,632,4.4,731,53.02,633,04:53:00,599.24,6931,-0.6333333333333334
516,Petri Ihander,9/4/1996,FIN,1,2,2,"Ratina Stadium, Tampere (FIN)",5/30/2021,962,11.15,-0.7,827,6.59,2.5,718,12.34,627,1.79,619,51.25,758,15.4,1.3,802,37.07,605,4.35,716,52.67,628,04:47:00,631.82,6931,1.0333333333333334
524,Ririki Kawamoto,6/11/2001,JPN,1,2,2,"Municipal Nishikyogoku Stadium, Kyoto (JPN)",5/26/2022,962,11.13,-0.8,832,6.98,-1.2,809,12.4,631,1.9,714,49.95,817,15,-1,850,27.56,417,3.8,562,52,618,04:39:00,681.3,6931,-1
457,Anatoliy Koshar,6/11/1989,BLR,1,4,4,Kose (EST),7/10/2010,962,11.51,2.1,750,6.71,3.8,746,13.18,678,1.86,679,50.96,771,15.74,-1.7,762,35.72,578,4.44,743,50.82,601,04:49:00,623.51,6931,1.4000000000000001
541,Mario Da Silva Neto,12/10/1987,BRA,1,5,5,Campinas (BRA),4/15/2012,962,11.34,0.1,786,7.22,1.6,866,12.88,660,1.98,785,51.36,753,15.84,1.7,751,35.97,583,3.8,562,50.67,599,04:55:00,586.65,6931,1.1333333333333335
559,Ramo Kask,7/13/1989,EST,1,5,5,Huddinge (SWE),6/12/2016,962,11.82,-1.3,687,6.38,-0.1,670,12.53,639,1.91,723,51.87,730,15.79,-1.6,757,41.39,693,4.72,825,49.49,581,04:48:00,626.48,6931,-1
524,Oscar Andres,11/23/2000,ESP,1,2,2,Soria (ESP),5/22/2022,962,11.05,-0.2,850,6.8,0.5,767,11.88,599,1.83,653,48.71,875,15.75,-2.4,761,32.91,522,4.4,731,43.36,491,04:39:00,682.31,6931,-0.7000000000000001
525,Joan Estruch,3/23/1984,ESP,1,5,5,Málaga (ESP),8/7/2011,962,11.34,1.6,786,6.46,-0.4,688,12.42,632,1.79,619,51.09,765,14.78,0.4,876,42.41,714,4.2,673,43.07,487,04:38:00,691.29,6931,0.5333333333333333
525,Michael Bucher,1/30/1990,SUI,1,18,18,Bressanone (ITA),7/3/2011,962,11.47,0.8,759,6.97,1.1,807,11.57,580,1.92,731,49.49,838,16.12,1.3,719,33.93,542,4.5,760,37.07,400,04:22:00,795.08,6931,1.0666666666666667
542,Ricardo D. Herrada Galindo,6/8/1991,VEN,1,2,2,São Paulo (BRA),9/23/2012,962,11.53,-0.6,746,6.99,1,811,11.8,594,1.82,644,51.73,737,15.15,NA,831,37.38,612,4.4,731,54.39,654,04:57:00,577.74,6930,NA
499,Ken Mullings,4/28/1997,BAH,1,1,1,"Philadelphia, PA (USA)",4/25/2018,962,11.13,1.4,832,7.03,2.9,821,12.15,616,1.99,794,50.84,776,15.04,0,845,34.16,547,3.8,562,49.55,582,05:00:00,555.4,6930,1.4333333333333333
